,timestamp,dap
3,1517976000,44.03
4,1517979600,43.69
5,1517983200,43.53
6,1517986800,47.18
7,1517990400,59.21
8,1517994000,62.62
9,1517997600,63.9
10,1518001200,62.62
11,1518004800,61.43
12,1518008400,59.83
13,1518012000,58.1
14,1518015600,53.46
15,1518019200,52.5
16,1518022800,55.55
17,1518026400,60.19
18,1518030000,65.13
19,1518033600,65.62
20,1518037200,66.35
21,1518040800,66.19
22,1518044400,63.87
23,1518048000,67.67
0,1518051600,62.09
1,1518055200,56.51
2,1518058800,51.0
3,1518062400,50.16
4,1518066000,50.16
5,1518069600,50.19
6,1518073200,56.07
7,1518076800,62.34
8,1518080400,67.66
9,1518084000,67.45
10,1518087600,67.18
11,1518091200,65.62
12,1518094800,64.84
13,1518098400,64.63
14,1518102000,62.62
15,1518105600,62.09
16,1518109200,63.0
17,1518112800,64.63
18,1518116400,71.19
19,1518120000,71.04
20,1518123600,71.04
21,1518127200,70.49
22,1518130800,69.42
23,1518134400,52.0
0,1518138000,62.62
1,1518141600,63.73
2,1518145200,53.58
3,1518148800,50.8
4,1518152400,50.5
5,1518156000,53.35
6,1518159600,58.57
7,1518163200,63.57
8,1518166800,67.62
9,1518170400,69.19
10,1518174000,68.0
11,1518177600,67.42
12,1518181200,67.66
13,1518184800,67.44
14,1518188400,65.0
15,1518192000,62.09
16,1518195600,60.51
17,1518199200,58.15
18,1518202800,58.57
19,1518206400,62.48
20,1518210000,63.53
21,1518213600,62.3
22,1518217200,58.3
23,1518220800,60.6
0,1518224400,49.51
1,1518228000,46.96
2,1518231600,44.99
3,1518235200,44.32
4,1518238800,44.03
5,1518242400,44.03
6,1518246000,44.19
7,1518249600,46.99
8,1518253200,46.99
9,1518256800,53.0
10,1518260400,60.21
11,1518264000,53.18
12,1518267600,49.51
13,1518271200,48.0
14,1518274800,46.99
15,1518278400,45.41
16,1518282000,44.99
17,1518285600,44.99
18,1518289200,56.07
19,1518292800,64.63
20,1518296400,66.42
21,1518300000,66.01
22,1518303600,62.09
23,1518307200,55.18
0,1518310800,50.81
1,1518314400,46.99
2,1518318000,44.57
3,1518321600,44.19
4,1518325200,43.26
5,1518328800,43.07
6,1518332400,43.22
7,1518336000,44.17
8,1518339600,44.17
9,1518343200,44.99
10,1518346800,48.32
11,1518350400,48.43
12,1518354000,48.0
13,1518357600,50.43
14,1518361200,47.31
15,1518364800,44.67
16,1518368400,44.32
17,1518372000,44.47
18,1518375600,48.4
19,1518379200,61.68
20,1518382800,63.03
21,1518386400,63.86
22,1518390000,62.49
23,1518393600,61.01
0,1518397200,45.0
1,1518400800,43.22
2,1518404400,42.12
3,1518408000,40.26
4,1518411600,40.26
5,1518415200,41.7
6,1518418800,47.57
7,1518422400,58.87
8,1518426000,61.11
9,1518429600,62.09
10,1518433200,62.25
11,1518436800,61.28
12,1518440400,60.65
13,1518444000,60.07
14,1518447600,59.92
15,1518451200,55.21
16,1518454800,54.95
17,1518458400,58.64
18,1518462000,61.44
19,1518465600,64.0
20,1518469200,65.01
21,1518472800,64.99
22,1518476400,62.28
23,1518480000,47.06
0,1518483600,60.05
1,1518487200,48.4
2,1518490800,44.32
3,1518494400,42.79
4,1518498000,41.71
5,1518501600,41.71
6,1518505200,43.99
7,1518508800,56.81
8,1518512400,60.69
9,1518516000,60.45
10,1518519600,60.05
11,1518523200,52.8
12,1518526800,49.62
13,1518530400,49.3
14,1518534000,45.56
15,1518537600,43.99
16,1518541200,45.36
17,1518544800,49.85
18,1518548400,54.38
19,1518552000,60.61
20,1518555600,61.92
21,1518559200,61.48
22,1518562800,58.19
23,1518566400,44.93
0,1518570000,41.85
1,1518573600,40.99
2,1518577200,38.85
3,1518580800,37.14
4,1518584400,37.0
5,1518588000,37.17
6,1518591600,42.82
7,1518595200,49.47
8,1518598800,58.8
9,1518602400,57.19
10,1518606000,56.96
11,1518609600,50.81
12,1518613200,48.41
13,1518616800,47.48
14,1518620400,45.99
15,1518624000,45.0
16,1518627600,45.99
17,1518631200,45.75
18,1518634800,52.08
19,1518638400,60.54
20,1518642000,61.87
21,1518645600,61.11
22,1518649200,57.19
23,1518652800,60.19
0,1518656400,43.22
1,1518660000,43.22
2,1518663600,42.84
3,1518667200,42.59
4,1518670800,42.72
5,1518674400,42.72
6,1518678000,43.98
7,1518681600,53.99
